
episode,successRate,timeRemaining
28,S,4720
24,S,4639
28,S,4820
26,S,4620
32,S,4830
29,S,4594
27,S,4927
26,S,4610
29,S,4820
25,S,4751
30,S,4500
29,S,4712
31,S,4597
27,S,4666
30,S,4816
31,S,4903
26,S,4541
32,S,4720
30,S,4635
33,S,4485
33,S,4958
27,S,4709
32,S,4609
28,S,4601
34,S,4945
26,S,4497
31,S,4603
28,S,4898
31,S,4838
27,S,4357
34,S,4853
32,S,4948
28,S,4957
32,S,4881
29,S,4823
33,S,4712
33,S,4865
33,S,4825
35,S,4718
35,S,4521
34,S,4779
34,S,4814
35,S,4942
29,S,4397
36,S,4869
36,S,4936
27,S,4379
37,S,4928
28,S,3742
37,S,4860
30,S,4437
29,S,4846
31,S,4925
30,S,4888
31,S,4959
36,S,4337
38,S,4668
32,S,4909
29,S,4028
30,S,4484
28,S,4381
30,S,4762
33,S,2683
34,S,3910
31,S,4721
37,S,4651
39,S,4648
35,S,3953
38,S,4847
40,S,4887
38,S,4119
29,S,4668
32,S,4230
30,S,4928
32,S,4705
41,S,4830
39,S,4785
36,S,4741
33,S,4305
37,S,4923
31,S,4473
33,S,4687
35,S,4364
33,S,4554
34,S,4884
32,S,4740
38,S,4717
36,S,4845
34,S,4616
34,S,4850
35,S,4809
34,S,4031
36,S,4932
35,S,4794
39,S,4166
40,S,4363
30,S,1951
35,S,4749
37,S,4632
41,S,4868
42,S,4171
36,S,4934
33,S,4551
31,S,4922
37,S,4791
43,S,4918
37,S,4901
40,S,4705
38,S,4765
34,S,4809
39,S,4328
38,S,4692
32,S,4691
36,S,4472
38,S,4737
39,S,4926
40,S,4844
44,S,4643
35,S,4336
33,S,4840
39,S,4864
41,S,4863
42,S,4994
39,S,4617
41,S,4502
43,S,4897
37,S,4657
35,S,4484
45,S,4696
36,S,4984
40,S,4691
40,S,4582
36,S,4607
40,S,4729
44,S,4804
31,S,3209
42,S,4722
34,S,4566
46,S,4791
37,S,4825
41,S,4815
32,S,4869
42,S,4980
41,S,4787
38,S,4660
45,S,4808
42,S,3881
43,S,4818
33,S,4901
35,S,4803
47,S,4775
43,S,4749
39,S,4753
43,S,4772
44,S,4751
48,S,4812
46,S,4697
44,S,4897
36,S,4620
42,S,4479
38,S,4440
40,S,4704
44,S,4677
45,S,4728
49,S,4731
34,S,4435
39,S,4838
41,S,4114
47,S,4608
43,S,4804
42,S,4959
37,S,3945
37,S,4647
50,S,4750
38,S,4983
45,S,4707
43,S,4863
48,S,4814
49,S,4979
45,S,4380
46,S,4837
44,S,4849
41,S,4469
46,S,4494
35,S,4566
46,S,4909
36,S,4956
47,S,4962
47,S,4865
45,S,4858
48,S,4951
40,S,4420
48,S,4820
47,S,4756
44,S,4355
51,S,4428
46,S,4751
42,S,4616
52,S,4929
39,S,4338
49,S,4670
38,S,4198
50,S,4967
40,S,4857
43,S,4788
37,S,4443
48,S,4638
45,S,4654
47,S,4718
44,S,4910
41,S,4864
49,S,4873
46,S,4807
53,S,4577
39,S,4644
50,S,3999
41,S,4349
49,S,4385
51,S,4625
52,S,4985
40,S,4936
42,S,4937
42,S,4787
50,S,4856
48,S,4530
47,S,4706
41,S,4789
50,S,4622
51,S,4621
52,S,4966
43,S,4649
54,S,4547
43,S,4626
38,S,4323
51,S,4829
51,S,4705
52,S,4965
48,S,4676
44,S,4838
53,S,4804
49,S,4957
49,S,4605
53,S,4374
42,S,4557
55,S,4714
45,S,4869
50,S,4898
45,S,4072
39,S,4676
46,S,4925
54,S,4842
53,S,4661
55,S,4975
51,S,4895
50,S,4762
54,S,4709
52,S,4537
56,S,4931
56,S,4795
46,S,4814
54,S,4821
44,S,4354
52,S,4782
53,S,4921
47,S,4596
55,S,4679
47,S,4722
40,S,4533
55,S,4710
54,S,4802
43,S,4332
48,S,4838
53,S,4512
56,S,4817
57,S,4505
56,S,4868
51,S,4442
45,S,4630
44,S,4932
52,S,4975
41,S,4699
57,S,4348
48,S,4604
58,S,4796
46,S,4820
55,S,4670
57,S,4679
59,S,4883
45,S,4681
58,S,4722
60,S,4874
57,S,4521
47,S,4685
49,S,4670
49,S,4434
50,S,4975
59,S,4864
46,S,4702
61,S,4782
58,S,4787
48,S,4796
60,S,4786
53,S,4249
62,S,4830
56,S,4427
49,S,4820
59,S,4799
50,S,4612
61,S,4830
58,S,4345
50,S,4935
57,S,4812
51,S,4484
47,S,4572
48,S,4946
59,S,4789
54,S,3802
51,S,4784
54,S,4608
63,S,4628
60,S,4695
49,S,4862
55,S,4908
42,S,3826
52,S,4879
56,S,4971
60,S,4835
52,S,4689
58,S,4600
53,S,4855
51,S,4480
55,S,4631
62,S,4406
61,S,4785
64,S,4632
57,S,4722
52,S,4808
50,S,4596
65,S,4870
53,S,4936
43,S,4550
61,S,4463
62,S,4785
53,S,4579
54,S,4621
54,S,4877
62,S,4905
51,S,4832
63,S,4704
66,S,4847
63,S,4916
59,S,4558
63,S,4925
58,S,4666
52,S,4917
55,S,4900
54,S,4815
55,S,4798
44,S,4697
55,S,4889
56,S,4911
64,S,4721
60,S,4742
57,S,4925
64,S,4700
67,S,4635
45,S,4822
64,S,4583
56,S,4808
56,S,4647
46,S,4832
59,S,4480
53,S,4487
58,S,4726
57,S,4814
56,S,4052
65,S,4768
68,S,4707
58,S,4905
57,S,4698
59,S,4881
47,S,4777
60,S,4928
59,S,4861
66,S,4800
61,S,4415
54,S,4710
60,S,4707
60,S,4959
69,S,4747
65,S,4438
65,S,4330
48,S,4805
66,S,4970
58,S,4745
61,S,4755
67,S,4868
55,S,4768
49,S,4839
70,S,4786
62,S,4723
61,S,4740
66,S,4766
71,S,4933
56,S,4910
57,S,4442
62,S,4811
59,S,4709
68,S,4791
63,S,4794
50,S,4763
57,S,4833
67,S,4481
62,S,4762
72,S,4773
60,S,4822
51,S,4889
63,S,4756
69,S,4773
58,S,4818
58,S,4649
64,S,4887
67,S,4561
64,S,4725
52,S,4775
63,S,4695
61,S,4169
70,S,4834
61,S,4745
62,S,4970
59,S,4781
63,S,4958
68,S,4535
53,S,4852
64,S,4830
65,S,4724
59,S,4614
73,S,4479
54,S,4878
71,S,4728
69,S,4818
65,S,4601
68,S,4567
64,S,4721
55,S,4834
69,S,4901
74,S,4809
66,S,4739
60,S,4626
60,S,4780
66,S,4791
62,S,4469
65,S,4594
65,S,4783
70,S,4725
70,S,4799
61,S,4823
71,S,4910
67,S,4746
71,S,4926
75,S,4705
63,S,4810
56,S,4619
62,S,4815
72,S,4459
61,S,4618
73,S,4985
67,S,4687
76,S,4809
64,S,4784
66,S,4609
74,S,4861
72,S,4701
63,S,4821
68,S,4826
68,S,4667
62,S,4759
69,S,4948
67,S,4882
69,S,4930
77,S,4738
57,S,4627
78,S,4951
75,S,4738
68,S,4837
69,S,4987
65,S,4685
64,S,4737
63,S,4789
70,S,4807
79,S,4946
70,S,4785
66,S,4288
80,S,4915
64,S,4881
71,S,4864
65,S,4840
73,S,4513
70,S,4784
71,S,4751
81,S,4825
72,S,4859
65,S,4834
67,S,4723
58,S,4591
76,S,4611
66,S,4795
71,S,4835
67,S,4976
66,S,4897
66,S,4592
74,S,4763
77,S,4925
72,S,4831
82,S,4831
73,S,4828
59,S,4841
75,S,4892
83,S,4839
68,S,4774
68,S,4683
72,S,4746
73,S,4809
60,S,4823
74,S,4936
69,S,4892
74,S,4726
84,S,4865
78,S,4669
75,S,4882
69,S,4733
61,S,4770
67,S,4504
67,S,4499
70,S,4937
73,S,4651
85,S,4745
76,S,4801
76,S,4527
79,S,4742
62,S,4863
86,S,4955
77,S,4964
70,S,4669
68,S,4841
74,S,4905
77,S,4939
75,S,4654
78,S,4997
80,S,4866
78,S,4876
68,S,4720
79,S,4882
69,S,4850
76,S,4842
71,S,4795
71,S,4681
63,S,4752
79,S,4852
75,S,4737
80,S,4865
64,S,4921
69,S,4760
81,S,4899
81,S,4721
87,S,4581
76,S,4859
72,S,4775
70,S,4928
70,S,4719
65,S,4837
72,S,4747
66,S,4991
71,S,4958
77,S,4676
82,S,4848
67,S,4858
78,S,4892
80,S,4603
71,S,4771
72,S,4800
88,S,4727
81,S,4951
77,S,4705
73,S,4708
83,S,4790
73,S,4687
78,S,4925
82,S,4533
72,S,4813
84,S,4876
74,S,4880
89,S,4757
83,S,4921
73,S,4736
79,S,4833
68,S,4657
79,S,4653
73,S,4890
80,S,4972
74,S,4733
84,S,4895
80,S,4898
82,S,4628
75,S,4793
90,S,4808
85,S,4887
72,S,2217
69,S,4779
85,S,4690
73,S,4956
83,S,4846
76,S,4839
74,S,4701
91,S,4843
77,S,4970
86,S,4834
81,S,4667
81,S,4736
74,S,4521
87,S,4892
88,S,4985
86,S,4741
74,S,4745
75,S,4937
78,S,4789
82,S,4806
75,S,4464
76,S,4949
82,S,4774
87,S,4883
76,S,4939
70,S,4565
92,S,4647
84,S,4607
77,S,4887
75,S,4619
75,S,4782
89,S,4748
83,S,4839
79,S,4777
83,S,4774
77,S,4840
93,S,4877
76,S,4925
94,S,4969
90,S,4900
88,S,4732
95,S,4940
85,S,4752
84,S,4797
78,S,4696
78,S,4794
71,S,4663
86,S,4922
76,S,4681
91,S,4809
80,S,4734
79,S,4922
81,S,4958
77,S,4701
79,S,4877
96,S,4763
92,S,4901
77,S,4872
89,S,4729
78,S,4934
72,S,4763
78,S,4830
93,S,4839
85,S,4657
80,S,4765
82,S,4747
80,S,4754
90,S,4759
84,S,4396
79,S,4791
79,S,4846
73,S,4803
86,S,4866
97,S,4669
81,S,4881
83,S,4844
80,S,4914
81,S,4791
82,S,4994
83,S,4981
85,S,4711
91,S,4699
74,S,4745
84,S,4856
87,S,4744
98,S,4743
82,S,4748
81,S,4773
86,S,4896
75,S,4881
85,S,4869
76,S,4982
84,S,4661
87,S,4122
77,S,4925
86,S,4915
99,S,4804
85,S,4885
92,S,4713
87,S,4805
83,S,4701
80,S,4382
86,S,4883
100,S,4830
93,S,4886
84,S,4933
87,S,4797
82,S,4623
88,S,4972
78,S,4743
79,S,4982
85,S,4926
88,S,4705
101,S,4897
81,S,4854
94,S,4903
94,S,4080
88,S,4764
89,S,4934
87,S,4815
80,S,4896
83,S,4823
86,S,4852
81,S,4926
88,S,4316
102,S,4750
90,S,4791
89,S,4759
88,S,4791
89,S,4665
89,S,4913
90,S,4965
90,S,4959
95,S,4691
103,S,4905
95,S,4619
90,S,4835
82,S,4564
82,S,4734
87,S,4703
104,S,4891
89,S,4803
84,S,4577
91,S,4775
96,S,4818
91,S,4694
97,S,4962
96,S,4709
83,S,4790
105,S,4785
88,S,4771
83,S,4761
91,S,4756
92,S,4886
106,S,4974
84,S,4968
98,S,4877
89,S,4926
85,S,4783
90,S,4708
93,S,4920
92,S,4778
107,S,4877
92,S,4846
91,S,4461
85,S,4843
97,S,4739
108,S,4929
91,S,4871
86,S,4853
87,S,4977
93,S,4864
90,S,4761
84,S,4661
99,S,4714
85,S,4953
92,S,4864
88,S,4859
109,S,4813
86,S,4783
100,S,4896
93,S,4910
93,S,4654
98,S,4753
92,S,4704
91,S,4807
94,S,4943
86,S,4845
89,S,4834
87,S,4831
101,S,4847
94,S,4687
94,S,4841
88,S,4948
93,S,4848
87,S,4808
90,S,4845
89,S,4906
92,S,4762
94,S,4357
88,S,4950
110,S,4614
95,S,4716
90,S,4926
102,S,4761
94,S,4795
93,S,4875
103,S,4947
95,S,4716
89,S,4817
99,S,4510
91,S,4760
95,S,4609
100,S,4930
90,S,4916
95,S,4699
96,S,4959
94,S,4813
111,S,4732
95,S,4782
91,S,4949
96,S,4796
91,S,4691
101,S,4879
95,S,4888
97,S,4860
96,S,4851
96,S,4961
92,S,4867
92,S,4733
112,S,4806
104,S,4626
98,S,4888
97,S,4794
97,S,4897
113,S,4942
93,S,4886
99,S,4928
97,S,4814
92,S,4726
93,S,4838
105,S,4878
96,S,4405
96,S,4668
98,S,4904
93,S,4940
102,S,4699
100,S,4890
94,S,4803
94,S,4861
98,S,4854
106,S,4821
95,S,4945
107,S,4959
114,S,4698
103,S,4830
101,S,4860
95,S,4899
94,S,4815
96,S,4947
99,S,4770
97,S,4742
98,S,4623
95,S,4927
96,S,4900
97,S,4637
104,S,4811
108,S,4796
115,S,4792
99,S,4652
96,S,4806
97,S,4709
100,S,4944
98,S,4720
97,S,4916
97,S,4727
102,S,4616
100,S,4631
105,S,4750
98,S,4693
109,S,4750
98,S,4917
99,S,4615
99,S,4838
103,S,4901
101,S,4850
106,S,4896
100,S,4882
104,S,4867
110,S,4813
107,S,4904
99,S,4795
99,S,4798
116,S,4534
101,S,4638
98,S,4610
101,S,4871
98,S,4658
100,S,4922
102,S,4802
111,S,4898
100,S,4692
105,S,4811
99,S,4896
103,S,4893
106,S,4951
108,S,4768
117,S,4793
102,S,4782
112,S,4832
100,S,4907
101,S,4861
103,S,4945
118,S,4928
113,S,4951
109,S,4917
104,S,4880
100,S,4672
107,S,4876
99,S,4708
102,S,4698
110,S,4925
119,S,4908
101,S,4680
108,S,4924
101,S,4901
104,S,4864
102,S,4958
100,S,4890
114,S,4846
111,S,4901
105,S,4834
115,S,4967
101,S,4928
101,S,4750
102,S,4742
103,S,4869
102,S,4831
112,S,4870
109,S,4797
103,S,4721
103,S,4964
113,S,4965
106,S,4831
102,S,4869
103,S,4864
104,S,4881
102,S,4816
105,S,4702
103,S,4895
105,S,4875
104,S,4938
104,S,4833
104,S,4782
103,S,4856
104,S,4759
107,S,4767
105,S,4954
104,S,4939
114,S,4730
106,S,4866
105,S,4882
105,S,4860
110,S,4651
120,S,4424
105,S,4887
116,S,4502
108,S,4888
115,S,4866
106,S,4925
106,S,4673
107,S,4887
108,S,4917
121,S,4817
106,S,4725
107,S,4886
106,S,4775
117,S,4787
105,S,4711
109,S,4919
106,S,4705
122,S,4900
110,S,4947
109,S,4680
123,S,4936
116,S,4709
107,S,4722
107,S,4805
107,S,4873
110,S,4929
108,S,4780
117,S,4920
111,S,4836
108,S,4888
108,S,4910
106,S,4700
124,S,4784
111,S,4824
108,S,4770
107,S,4549
118,S,4576
109,S,4816
109,S,4726
112,S,4772
111,S,4263
118,S,4720
107,S,4786
125,S,4803
109,S,4702
108,S,4865
109,S,4808
110,S,4841
126,S,4906
112,S,4733
112,S,4859
119,S,4751
108,S,4836
119,S,4780
110,S,4729
127,S,4873
109,S,4797
113,S,4863
113,S,4707
109,S,4886
110,S,4791
111,S,4779
113,S,4801
112,S,4991
111,S,4889
120,S,4848
110,S,4872
128,S,4852
120,S,4754
121,S,4925
114,S,4815
110,S,4597
112,S,4832
114,S,4714
129,S,4838
114,S,4768
115,S,4866
115,S,4966
111,S,4775
110,S,4676
121,S,4779
111,S,4618
116,S,4905
122,S,4732
113,S,4789
113,S,4594
111,S,4868
130,S,4811
114,S,4978
115,S,4778
116,S,4809
114,S,4964
122,S,4848
112,S,4850
117,S,4817
115,S,4862
131,S,4801
118,S,4927
123,S,4750
112,S,4785
123,S,4826
119,S,4956
124,S,4927
113,S,4905
112,S,4549
124,S,4888
116,S,4803
117,S,4684
116,S,4677
115,S,4662
114,S,4914
132,S,4775
118,S,4871
120,S,4744
111,S,4167
125,S,4777
117,S,4786
115,S,4821
117,S,4750
125,S,4677
116,S,4736
113,S,4659
116,S,4911
133,S,4743
126,S,4856
117,S,4873
112,S,4769
119,S,4699
113,S,4317
126,S,4785
118,S,4715
121,S,4651
120,S,4915
117,S,4800
118,S,4715
134,S,4803
114,S,4766
118,S,4838
119,S,4915
113,S,4834
119,S,4988
127,S,4733
127,S,4860
114,S,4774
128,S,4960
121,S,4843
120,S,4925
128,S,4921
122,S,4748
135,S,4768
120,S,4818
118,S,4726
115,S,4739
121,S,4861
123,S,4949
136,S,4887
129,S,4810
114,S,4682
119,S,4603
115,S,4730
122,S,4740
122,S,4874
129,S,4689
130,S,4894
124,S,4799
123,S,4917
116,S,4786
116,S,4887
137,S,4810
120,S,4847
131,S,4899
119,S,4697
123,S,4765
138,S,4895
121,S,4582
124,S,4831
132,S,4901
130,S,4766
139,S,4959
125,S,4755
120,S,4838
131,S,4912
115,S,4580
132,S,4962
140,S,4877
124,S,4824
117,S,4699
121,S,4719
133,S,4810
117,S,4640
122,S,4771
125,S,4768
122,S,4914
121,S,4805
118,S,4912
141,S,4857
125,S,4855
126,S,4931
134,S,4874
142,S,4948
116,S,4792
126,S,4683
118,S,4761
133,S,4749
119,S,4872
123,S,4779
119,S,4930
123,S,4791
120,S,4903
127,S,4770
134,S,4829
126,S,4700
117,S,4733
124,S,4852
120,S,4816
122,S,4617
135,S,4660
124,S,4783
128,S,4862
118,S,4931
143,S,4660
121,S,4818
123,S,4936
125,S,4897
136,S,4927
127,S,4644
135,S,4813
121,S,4874
144,S,4898
119,S,4893
125,S,4876
120,S,4951
122,S,4831
127,S,4722
126,S,4840
137,S,4849
127,S,4969
124,S,4800
128,S,4958
138,S,4945
145,S,4843
129,S,4965
121,S,4856
126,S,4800
122,S,4768
136,S,4750
130,S,4899
139,S,4880
128,S,4680
129,S,4996
128,S,4840
129,S,4560
137,S,4899
122,S,4874
140,S,4947
123,S,4702
131,S,4890
127,S,4796
141,S,4906
123,S,4794
142,S,4926
125,S,4604
124,S,4839
130,S,4750
130,S,4789
146,S,4599
129,S,4717
124,S,4818
143,S,4863
128,S,4774
131,S,4889
126,S,4875
129,S,4930
131,S,4828
138,S,4619
123,S,4591
124,S,4971
132,S,4851
130,S,4751
125,S,4945
144,S,4784
125,S,4741
147,S,4693
127,S,4765
126,S,4911
139,S,4797
125,S,4616
132,S,4782
127,S,4944
133,S,4799
133,S,4906
130,S,4668
148,S,4814
126,S,4842
145,S,4735
140,S,4768
128,S,4731
126,S,4700
149,S,4860
127,S,4825
134,S,4742
128,S,4696
131,S,4547
127,S,4874
132,S,4964
134,S,4710
129,S,4920
129,S,4788
131,S,4651
141,S,4747
135,S,4848
128,S,4867
133,S,4870
146,S,4654
128,S,4766
130,S,4871
135,S,4811
132,S,4878
150,S,4666
129,S,4950
147,S,4925
134,S,4892
130,S,4789
129,S,4866
142,S,4814
130,S,4938
136,S,4899
133,S,4853
148,S,4873
151,S,4860
136,S,4724
143,S,4863
130,S,4826
131,S,4820
135,S,4789
137,S,4828
152,S,4878
131,S,4792
134,S,4827
132,S,4926
149,S,4755
132,S,4817
137,S,4761
131,S,4559
135,S,4882
131,S,4768
138,S,4799
139,S,4985
153,S,4800
144,S,4694
133,S,4854
136,S,4718
133,S,4884
136,S,4902
132,S,3271
150,S,4710
137,S,4828
132,S,4741
145,S,4782
138,S,4680
132,S,4639
134,S,4736
146,S,4915
139,S,4901
135,S,4953
134,S,4650
140,S,4952
137,S,4656
154,S,4591
140,S,4560
138,S,4774
133,S,4854
133,S,4759
147,S,4841
151,S,4697
141,S,4925
138,S,4854
141,S,4838
152,S,4933
135,S,4807
133,S,4492
136,S,4713
134,S,4787
137,S,4922
142,S,4822
155,S,4665
134,S,4723
142,S,4744
136,S,4782
139,S,4738
148,S,4687
153,S,4757
134,S,4800
139,S,4601
135,S,4794
143,S,4827
140,S,4883
140,S,4919
154,S,4876
156,S,4783
135,S,4842
155,S,4945
149,S,4804
135,S,4750
137,S,4785
141,S,4861
138,S,4648
136,S,4778
143,S,4653
136,S,4865
141,S,4784
138,S,4854
139,S,4972
157,S,4724
136,S,4741
144,S,4859
156,S,4734
150,S,4725
142,S,4776
140,S,4861
137,S,4756
139,S,4719
142,S,4780
151,S,4880
144,S,4499
137,S,4717
140,S,4923
158,S,4764
137,S,4748
138,S,4835
157,S,4750
145,S,4892
145,S,4686
143,S,4713
143,S,4761
159,S,4869
152,S,4773
139,S,4846
146,S,4900
158,S,4831
141,S,4627
153,S,4923
138,S,4715
142,S,4938
139,S,4946
146,S,4758
141,S,4666
159,S,4913
147,S,4883
142,S,4967
144,S,4799
140,S,4851
144,S,4748
145,S,4987
160,S,4909
138,S,4602
148,S,4880
154,S,4787
160,S,4682
147,S,4835
145,S,4865
140,S,4806
143,S,4844
161,S,4965
143,S,4783
155,S,4935
161,S,4805
146,S,4720
148,S,4807
144,S,4829
141,S,4666
162,S,4814
141,S,4809
149,S,4752
146,S,4778
156,S,4757
162,S,4798
144,S,4713
139,S,4620
145,S,4829
150,S,4851
149,S,4804
147,S,4838
142,S,4820
163,S,4810
146,S,4956
157,S,4859
163,S,4858
164,S,4994
142,S,4716
140,S,4801
147,S,4646
147,S,4864
143,S,4838
165,S,4912
148,S,4823
164,S,4805
141,S,4934
158,S,4815
145,S,4706
151,S,4696
142,S,4892
148,S,4805
149,S,4811
144,S,4793
150,S,4987
159,S,4842
143,S,4714
166,S,4778
143,S,4924
165,S,4796
150,S,4575
144,S,4947
146,S,4769
152,S,4793
145,S,4821
151,S,4847
148,S,4565
166,S,4811
160,S,4776
145,S,4832
151,S,4742
167,S,4746
146,S,4951
146,S,4876
153,S,4797
149,S,4650
149,S,4835
147,S,4700
161,S,4843
144,S,4622
147,S,4867
167,S,4788
162,S,4943
152,S,4736
168,S,4812
147,S,4813
150,S,4838
148,S,4883
148,S,4906
168,S,4883
154,S,4757
148,S,4895
153,S,4870
169,S,4852
152,S,4640
150,S,4759
145,S,4777
153,S,4984
149,S,4858
146,S,4929
151,S,4748
149,S,4758
163,S,4698
169,S,4793
170,S,4848
151,S,4816
154,S,4808
155,S,4684
149,S,4688
150,S,4768
171,S,4834
155,S,4865
150,S,4769
147,S,4703
152,S,4729
154,S,4579
172,S,4907
170,S,4734
152,S,4778
148,S,4967
156,S,4842
151,S,4939
164,S,4700
173,S,4934
156,S,4874
174,S,4932
150,S,4727
153,S,4846
171,S,4851
151,S,4724
165,S,4839
153,S,4800
149,S,4798
155,S,4759
152,S,4867
172,S,4837
166,S,4873
151,S,4813
154,S,4812
157,S,4733
157,S,4680
156,S,4893
175,S,4775
154,S,4848
152,S,4655
167,S,4932
153,S,4915
158,S,4844
158,S,4837
155,S,4826
173,S,4808
153,S,4771
154,S,4915
157,S,4792
176,S,4810
168,S,4799
155,S,4933
150,S,4578
154,S,4888
156,S,4859
174,S,4862
152,S,4659
158,S,4862
159,S,4790
156,S,4867
169,S,4842
157,S,4898
155,S,4881
159,S,4730
177,S,4753
159,S,4879
153,S,4862
155,S,4546
175,S,4777
156,S,4859
160,S,4804
151,S,4725
157,S,4811
157,S,4959
156,S,4854
161,S,4933
158,S,4954
160,S,4828
178,S,4806
170,S,4749
161,S,4967
176,S,4840
162,S,4978
179,S,4948
158,S,4693
180,S,4980
154,S,4714
159,S,4807
171,S,4828
158,S,4759
157,S,4767
160,S,4496
181,S,4774
160,S,4875
163,S,4736
155,S,4773
159,S,4724
159,S,4825
156,S,4967
158,S,4832
159,S,4952
161,S,4870
162,S,4537
160,S,4872
182,S,4820
183,S,4985
152,S,4388
162,S,4899
164,S,4763
163,S,4888
177,S,4493
