
episode,successRate,timeRemaining,seekCount,velocity,range
235,T,5000,0,300,20
236,T,5000,0,300,20
237,T,5000,0,300,20
238,T,5000,0,300,20
239,T,5000,0,300,20
240,T,5000,0,300,20
241,T,5000,0,300,20
242,T,5000,0,300,20
243,T,5000,0,300,20
244,T,5000,0,300,20
245,T,5000,0,300,20
246,T,5000,0,300,20
247,T,5000,0,300,20
248,T,5000,0,300,20
249,T,5000,0,300,20
250,T,5000,0,300,20
251,T,5000,0,300,20
252,T,5000,0,300,20
253,T,5000,0,300,20
254,T,5000,0,300,20
255,T,5000,0,300,20
256,T,5000,0,300,20
257,T,5000,0,300,20
258,T,5000,0,300,20
259,T,5000,0,300,20
260,T,5000,0,300,20
261,T,5000,0,300,20
262,T,5000,0,300,20
263,T,5000,0,300,20
264,T,5000,0,300,20
265,T,5000,0,300,20
266,T,5000,0,300,20
267,T,5000,0,300,20
268,T,5000,0,300,20
269,T,5000,0,300,20
270,T,5000,0,300,20
271,T,5000,0,300,20
272,T,5000,0,300,20
273,T,5000,0,300,20
274,T,5000,0,300,20
275,T,5000,0,300,20
276,T,5000,0,300,20
277,T,5000,0,300,20
278,T,5000,0,300,20
279,T,5000,0,300,20
280,T,5000,0,300,20
281,T,5000,0,300,20
282,T,5000,0,300,20
283,T,5000,0,300,20
284,T,5000,0,300,20
285,T,5000,0,300,20
286,T,5000,0,300,20
287,T,5000,0,300,20
288,T,5000,0,300,20
289,T,5000,0,300,20
290,T,5000,0,300,20
291,T,5000,0,300,20
292,T,5000,0,300,20
293,T,5000,0,300,20
294,T,5000,0,300,20
295,T,5000,0,300,20
296,T,5000,0,300,20
297,T,5000,0,300,20
298,T,5000,0,300,20
299,T,5000,0,300,20
300,T,5000,0,300,20
301,T,5000,0,300,20
302,T,5000,0,300,20
303,T,5000,0,300,20
304,T,5000,0,300,20
305,T,5000,0,300,20
306,T,5000,0,300,20
307,T,5000,0,300,20
308,T,5000,0,300,20
309,T,5000,0,300,20
310,T,5000,0,300,20
311,T,5000,0,300,20
312,T,5000,0,300,20
313,T,5000,0,300,20
314,T,5000,0,300,20
315,T,5000,0,300,20
316,T,5000,0,300,20
317,T,5000,0,300,20
318,T,5000,0,300,20
319,T,5000,0,300,20
320,T,5000,0,300,20
321,T,5000,0,300,20
322,T,5000,0,300,20
323,T,5000,0,300,20
324,T,5000,0,300,20
325,T,5000,0,300,20
326,T,5000,0,300,20
327,T,5000,0,300,20
328,T,5000,0,300,20
329,T,5000,0,300,20
330,T,5000,0,300,20
331,T,5000,0,300,20
332,T,5000,0,300,20
333,T,5000,0,300,20
334,T,5000,0,300,20
335,T,5000,0,300,20
336,T,5000,0,300,20
337,T,5000,0,300,20
338,T,5000,0,300,20
339,T,5000,0,300,20
340,T,5000,0,300,20
341,T,5000,0,300,20
342,T,5000,0,300,20
343,T,5000,0,300,20
344,T,5000,0,300,20
345,T,5000,0,300,20
346,T,5000,0,300,20
347,T,5000,0,300,20
348,T,5000,0,300,20
349,T,5000,0,300,20
350,T,5000,0,300,20
351,T,5000,0,300,20
352,T,5000,0,300,20
353,T,5000,0,300,20
354,T,5000,0,300,20
355,T,5000,0,300,20
356,T,5000,0,300,20
357,T,5000,0,300,20
358,T,5000,0,300,20
359,T,5000,0,300,20
360,T,5000,0,300,20
361,T,5000,0,300,20
362,T,5000,0,300,20
363,T,5000,0,300,20
364,T,5000,0,300,20
365,T,5000,0,300,20
366,T,5000,0,300,20
367,T,5000,0,300,20
368,T,5000,0,300,20
369,T,5000,0,300,20
370,T,5000,0,300,20
371,T,5000,0,300,20
372,T,5000,0,300,20
373,T,5000,0,300,20
374,T,5000,0,300,20
375,T,5000,0,300,20
376,T,5000,0,300,20
377,T,5000,0,300,20
378,T,5000,0,300,20
379,T,5000,0,300,20
380,T,5000,0,300,20
381,T,5000,0,300,20
382,T,5000,0,300,20
383,T,5000,0,300,20
384,T,5000,0,300,20
385,T,5000,0,300,20
386,T,5000,0,300,20
387,T,5000,0,300,20
388,T,5000,0,300,20
389,T,5000,0,300,20
390,T,5000,0,300,20
391,T,5000,0,300,20
392,T,5000,0,300,20
393,T,5000,0,300,20
394,T,5000,0,300,20
395,T,5000,0,300,20
396,T,5000,0,300,20
397,T,5000,0,300,20
398,T,5000,0,300,20
399,T,5000,0,300,20
400,T,5000,0,300,20
401,T,5000,0,300,20
402,T,5000,0,300,20
403,T,5000,0,300,20
404,T,5000,0,300,20
405,T,5000,0,300,20
406,T,5000,0,300,20
407,T,5000,0,300,20
408,T,5000,0,300,20
409,T,5000,0,300,20
410,T,5000,0,300,20
411,T,5000,0,300,20
412,T,5000,0,300,20
413,T,5000,0,300,20
414,T,5000,0,300,20
415,T,5000,0,300,20
416,T,5000,0,300,20
417,T,5000,0,300,20
418,T,5000,0,300,20
419,T,5000,0,300,20
420,T,5000,0,300,20
421,T,5000,0,300,20
422,T,5000,0,300,20
423,T,5000,0,300,20
424,T,5000,0,300,20
425,T,5000,0,300,20
426,T,5000,0,300,20
427,T,5000,0,300,20
428,T,5000,0,300,20
429,T,5000,0,300,20
430,T,5000,0,300,20
431,T,5000,0,300,20
432,T,5000,0,300,20
433,T,5000,0,300,20
434,T,5000,0,300,20
435,T,5000,0,300,20
436,T,5000,0,300,20
437,T,5000,0,300,20
438,T,5000,0,300,20
439,T,5000,0,300,20
440,T,5000,0,300,20
441,T,5000,0,300,20
442,T,5000,0,300,20
443,T,5000,0,300,20
444,T,5000,0,300,20
445,T,5000,0,300,20
446,T,5000,0,300,20
447,T,5000,0,300,20
448,T,5000,0,300,20
449,T,5000,0,300,20
450,T,5000,0,300,20
451,T,5000,0,300,20
452,T,5000,0,300,20
453,T,5000,0,300,20
454,T,5000,0,300,20
455,T,5000,0,300,20
456,T,5000,0,300,20
457,T,5000,0,300,20
458,T,5000,0,300,20
459,T,5000,0,300,20
460,T,5000,0,300,20
461,T,5000,0,300,20
462,T,5000,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20
0,T,5000,0,300,20
1,S,4777,0,300,20
2,S,4999,0,300,20
1,S,4741,0,300,20
2,S,4999,0,300,20
3,S,4668,0,300,20
4,S,4999,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20
0,T,5000,0,300,20
1,S,4687,3,300,20
2,S,4999,0,300,20
1,S,4617,2,300,20
2,S,4999,0,300,20
3,S,4749,0,300,20
4,S,4999,0,300,20
5,S,4824,1,300,20
6,S,4999,0,300,20
7,S,4311,4,300,20
8,S,4999,0,300,20
9,S,4524,4,300,20
10,S,4999,0,300,20
11,S,4836,0,300,20
12,S,4999,0,300,20
3,S,3109,17,300,20
4,S,4999,0,300,20
13,S,4723,1,300,20
14,S,4999,0,300,20
15,S,4535,1,300,20
16,S,4999,0,300,20
17,S,4652,2,300,20
18,S,4999,0,300,20
19,S,4421,3,300,20
20,S,4999,0,300,20
21,S,4326,5,300,20
22,S,4999,0,300,20
23,S,4784,0,300,20
24,S,4999,0,300,20
25,S,4891,0,300,20
26,S,4999,0,300,20
27,S,4566,3,300,20
28,S,4999,0,300,20
29,S,4578,4,300,20
30,S,4999,0,300,20
5,S,1620,25,300,20
6,S,4999,0,300,20
31,S,4720,2,300,20
32,S,4999,0,300,20
33,S,4945,0,300,20
34,S,4999,0,300,20
7,S,4520,2,300,20
8,S,4999,0,300,20
35,S,4668,2,300,20
36,S,4999,0,300,20
37,S,4873,1,300,20
38,S,4999,0,300,20
